DATE,TXS,FEE_PAYERS,DEX
2023-07-14T00:00:00.000Z,7424054,10781,Jupiter Aggregator
2023-07-14T00:00:00.000Z,896483,136,Openbook
2023-07-14T00:00:00.000Z,668,176,Serum
2023-07-14T00:00:00.000Z,6431,4,Lifinity
2023-07-14T00:00:00.000Z,1310,10,Saber
2023-07-14T00:00:00.000Z,160810,1911,Orca
2023-07-14T00:00:00.000Z,3,2,Cykura
2023-07-14T00:00:00.000Z,15,3,Invariant
2023-07-14T00:00:00.000Z,635,3,Step Finance
2023-07-14T00:00:00.000Z,1,1,Mango Markets
2023-07-14T00:00:00.000Z,960,15,Aldrin
2023-07-14T00:00:00.000Z,7375,4916,Stepn
2023-07-14T00:00:00.000Z,58356,1810,Raydium
2023-07-14T00:00:00.000Z,5,3,Mercurial
2023-01-25,1248365,307,Openbook
2023-01-25,3063,38,Aldrin
2023-01-25,11095,7269,Stepn
2023-01-25,80,4,Step Finance
2023-01-25,421,136,Serum
2023-01-25,19656,1630,Orca
2023-01-25,21,3,Invariant
2023-01-25,233,10,Lifinity
2023-01-25,138966,4854,Raydium
2023-01-25,84067,1,GooseFX
2023-01-25,108,16,Saber
2023-01-25,293410,15035,Jupiter Aggregator
2023-01-25,13,9,Mercurial
2022-09-17,8028374,561,Serum
2022-09-17,3303124,389,Mango Markets
2022-09-17,5334,88,Aldrin
2022-09-17,20315,13871,Stepn
2022-09-17,50062,2141,Raydium
2022-09-17,21,3,Cykura
2022-09-17,81797,2,GooseFX
2022-09-17,9199,1261,Orca
2022-09-17,240,5,Invariant
2022-09-17,93,27,Mercurial
2022-09-17,226,7,Lifinity
2022-09-17,69983,9246,Jupiter Aggregator
2022-09-17,190,36,Saber
2022-09-17,18,6,Step Finance
2023-09-19T00:00:00.000Z,273,8,Saber
2023-09-19T00:00:00.000Z,28026,1018,Raydium
2023-09-19T00:00:00.000Z,604581,5747,Jupiter Aggregator
2023-09-19T00:00:00.000Z,6207,4310,Stepn
2023-09-19T00:00:00.000Z,1871,3,Lifinity
2023-09-19T00:00:00.000Z,2746,3,Invariant
2023-09-19T00:00:00.000Z,313610,87,Openbook
2023-09-19T00:00:00.000Z,1,1,Mango Markets
2023-09-19T00:00:00.000Z,46,3,Step Finance
2023-09-19T00:00:00.000Z,173560,2154,Orca
2023-09-19T00:00:00.000Z,122,1,Aldrin
2023-09-19T00:00:00.000Z,113,30,Serum
2023-09-19T00:00:00.000Z,3,3,Mercurial
2023-01-22,87,16,Saber
2023-01-22,6,1,Mango Markets
2023-01-22,147,4,Lifinity
2023-01-22,2,1,Invariant
2023-01-22,3351,41,Aldrin
2023-01-22,15507,1373,Orca
2023-01-22,793346,630,Openbook
2023-01-22,82,3,Step Finance
2023-01-22,765,150,Serum
2023-01-22,145840,5117,Raydium
2023-01-22,83468,2,GooseFX
2023-01-22,12197,7959,Stepn
2023-01-22,306713,16848,Jupiter Aggregator
2023-01-22,31,21,Mercurial
2023-01-22,3,2,Cykura
2023-03-31,2119,5,Lifinity
2023-03-31,14505,920,Orca
2023-03-31,17,10,Mercurial
2023-03-31,1850,31,Aldrin
2023-03-31,4,2,Invariant
2023-03-31,277,46,Serum
2023-03-31,1143305,8801,Jupiter Aggregator
2023-03-31,2334085,194,Openbook
2023-03-31,145,9,Saber
2023-03-31,83794,1,GooseFX
2023-03-31,8950,6051,Stepn
2023-03-31,873,4,Step Finance
2023-03-31,32992,1274,Raydium
2022-10-30,73,29,Saber
2022-10-30,3656075,772,Serum
2022-10-30,4728,54,Aldrin
2022-10-30,14884,940,Orca
2022-10-30,12,4,Invariant
2022-10-30,39,29,Mercurial
2022-10-30,30,4,Step Finance
2022-10-30,50723,1557,Raydium
2022-10-30,88438,7342,Jupiter Aggregator
2022-10-30,19459,12753,Stepn
2022-10-30,81145,4,GooseFX
2022-10-30,2376,6,Lifinity
2022-10-30,15,3,Mango Markets
2022-12-12,12666,8582,Stepn
2022-12-12,4296,221,Serum
2022-12-12,164,23,Saber
2022-12-12,195,6,Lifinity
2022-12-12,115993,6577,Jupiter Aggregator
2022-12-12,147,4,Step Finance
2022-12-12,10,2,Invariant
2022-12-12,5329,749,Orca
2022-12-12,10516,978,Raydium
2022-12-12,4,2,Cykura
2022-12-12,3296,52,Aldrin
2022-12-12,85553,1,GooseFX
2022-12-12,109,30,Mercurial
2022-12-12,333438,80,Openbook
2023-07-08T00:00:00.000Z,4,2,Invariant
2023-07-08T00:00:00.000Z,53046,1345,Raydium
2023-07-08T00:00:00.000Z,745,6,Lifinity
