FIRST_TX_DATE,NEW_WALLETS,PROGRAM_ID,DEX
2022-09-23,314,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Jupiter Aggregator
2022-10-20,45,9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,Orca
2022-10-01,36,9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,Serum
2022-10-01,177,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Raydium
2022-10-29,39,9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,Orca
2023-03-14,163,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium
2022-12-13,105,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Jupiter Aggregator
2022-09-16,3,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium
2023-03-11,1,AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6,Aldrin
2023-01-26,270,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Jupiter Aggregator
2023-01-31,2,SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,Saber
2022-12-12,330,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,Jupiter Aggregator
2022-10-01,1,J2NhFnBxcwbxovE7avBQCXWPgfVtxi5sJfz68AH6R2Mg,Serum
2023-02-18,1099,JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,Jupiter Aggregator
2023-01-14,5,SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,Saber
2023-03-15,4,CURVGoZn8zycx6FXwwevgBTB2gVvdbGTEpvMJDbgs2t4,Aldrin
2022-09-21,2,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium
2022-12-10,41,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium
2022-10-23,1,mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,Mango Markets
2023-01-23,59,22Y43yTVxuUkoRKdm9thyRhQ3SdgQS7c7kB6UNCiaczD,Serum
2023-03-10,70,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Jupiter Aggregator
2022-10-16,7,CURVGoZn8zycx6FXwwevgBTB2gVvdbGTEpvMJDbgs2t4,Aldrin
2022-09-21,2,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,Mercurial
