Program1,Program2,Name1,Name2,weight,Timedelta
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,Chainlink Program,Switchboard: Switchboard V2 Program,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,Chainlink Program,Magic Eden: Magiceden V2 Program,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,Chainlink Program,Switchboard: Switchboard Oracle,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,Chainlink Program,Jupiter: Jupiter Swap V4,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,Chainlink Program,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX,Chainlink Program,Openbook: Openbook Program,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,Chainlink Program,7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Chainlink Program,Jupiter: Jupiter Aggregator V3,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,DCDX75fVNMB816DFERFiWgRiTxqkQukaCM7mSvsA9gQT,Chainlink Program,DCDX75fVNMB816DFERFiWgRiTxqkQukaCM7mSvsA9gQT,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD,Chainlink Program,Zeta: Zeta Dex,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,FUfpR31LmcP1VSbz5zDaM7nxnH55iBHkpwusgrnhaFjL,Chainlink Program,FUfpR31LmcP1VSbz5zDaM7nxnH55iBHkpwusgrnhaFjL,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,Chainlink Program,Metaplex: Metaplex Token Metadata,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,3r2St9LGBnXMxv2msAZ4eGAPFNHwpNMbudkdBxdZCCRL,Chainlink Program,3r2St9LGBnXMxv2msAZ4eGAPFNHwpNMbudkdBxdZCCRL,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW,Chainlink Program,Star Atlas: Star Atlas Fleet Program,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,rwdNPNPS6zNvtF6FMvaxPRjzu2eC51mXaDT9rmWsojp,Chainlink Program,rwdNPNPS6zNvtF6FMvaxPRjzu2eC51mXaDT9rmWsojp,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,Chainlink Program,StepN DOOAR Swap,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,HAbiTatJVqoCJd9asyr6RxMEdwtfrQugwp7VAFyKWb1g,Chainlink Program,Genopets: Genopets Habitat Management Program,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,8puaJ4HcQByrpWfsuRAF4BPyqGwUPsez44BuMXFCDEdc,Chainlink Program,8puaJ4HcQByrpWfsuRAF4BPyqGwUPsez44BuMXFCDEdc,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,DeJBGdMFa1uynnnKiwrVioatTuHmNLpyFKnmB5kaFdzQ,Chainlink Program,Serum: Serum Assert Owner,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,Chainlink Program,Jupiter: Jupiter Aggregator V2,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,9ehXDD5bnhSpFVRf99veikjgq8VajtRH7e3D9aVPLqYd,Chainlink Program,9ehXDD5bnhSpFVRf99veikjgq8VajtRH7e3D9aVPLqYd,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,sCA1E3Ns7bRnAiz9FW5AgPW1WuADfF9QueS4FCQLUY3,Chainlink Program,sCA1E3Ns7bRnAiz9FW5AgPW1WuADfF9QueS4FCQLUY3,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,monacoUXKtUi6vKsQwaLyxmXKSievfNWEcYXTgkbCih,Chainlink Program,monacoUXKtUi6vKsQwaLyxmXKSievfNWEcYXTgkbCih,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,Chainlink Program,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,traderDnaR5w6Tcoi3NFm53i48FTDNbGjBSZwWXDRrg,Chainlink Program,traderDnaR5w6Tcoi3NFm53i48FTDNbGjBSZwWXDRrg,0.0,7d
