BLOCKCHAIN,CREATOR,ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,LABEL,ADDRESS_NAME
solana,flipside,A7p8451ktDCHq5yYaHczeLMYsjRsAkzc3hCXcSrwYHU7,nft,marketplace,digitaleyes,digitaleyes nft marketplace
solana,flipside,BHJ4tRcogS88tUhYotPfYWDjR4q7MGdizdiguY3N54rb,dapp,general_contract,dispatch protocol,dispatch protocol
solana,flipside,8puaJ4HcQByrpWfsuRAF4BPyqGwUPsez44BuMXFCDEdc,dapp,general_contract,gameta,gameta
solana,flipside,6LtLpnUFNByNXLyCoK9wA2MykKAmQNZKBdY8s47dehDc,defi,general_contract,kamino finance,kamino finance
solana,flipside,6MLxLqiXaaSUpkgMnWDTuejNZEz3kE7k2woyHGVFw319,defi,general_contract,crema finance,crema finance
solana,flipside,6fACWumdtZpnAWpUUhZW7DeB2ptM8BMsmQAqvRgbbYZv,defi,general_contract,upfi,upfi
solana,flipside,4MNPdKu9wFMvEeZBMt3Eipfs5ovVWTJb31pEXDJAAxX5,dex,general_contract,serum,serum assert owner program
solana,flipside,4MangoMjqJ2firMokCjjGgoK8d4MXcrgL7XJaL3w6fVg,dex,general_contract,mango markets,mango markets v4
solana,flipside,AUGUREpS2W6T5FgTiycU9oD7WFrbbf4mtvi6nwEkob5T,dapp,general_contract,augur,augur
solana,flipside,ArAA6CZC123yMJLUe4uisBEgvfuw2WEvex9iFmFCYiXv,nft,contract_deployer,launchmynft,launchmynft: candy machine
solana,flipside,DmzAmomATKpNp2rCBfYLS7CSwQqeQTsgRYJA1oSSAJaP,dex,staking_contract,orca,orca francium farm
solana,flipside,Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,dex,general_contract,dooar,dooar
solana,flipside,HubbLeXBb7qyLHt3x7gvYaRrxQmmgExb7fCJgDqFuB6T,defi,general_contract,hubble,hubble
solana,flipside,5quBtoiQqxF9Jv6KYKctB59NT3gtJD2Y65kdnB1Uev3h,dex,pool,raydium,raydium liquidity pool program id v5
solana,flipside,657iw8S9b4BG5Vno91DgJk4bqoH3kzPRopngPG8uxWxg,defi,general_contract,defiland,defilland marketplace program
solana,flipside,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,dex,pool,raydium,Raydium Liquidity Pool V4
solana,flipside,AVoAYTs36yB5izAaBkxRG67wL1AMwG3vo41hKtUSb8is,dapp,governance,realms,serum
solana,flipside,FC81tbGt6JWRXidaWYFXxGnTk4VgobhJHATvTRVMqgWj,defi,general_contract,francium,francium lending program
solana,flipside,FF7U7Vj1PpBkTPau7frwLLrUHrjkxTQLsH7U5K3T3B3j,defi,general_contract,mean finance,mean finance multisig program
solana,flipside,p1exdMJcjVao65QdewkaZRUnU6VPSXhus9n2GzWfh98,nft,general_contract,metaplex,metaplex program
solana,flipside,9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,dex,general_contract,serum,serum dex v3
solana,flipside,617jbWo616ggkDxvW1Le8pV38XLbVSyWY8ae6QUmGBAU,nft,marketplace,solsea,Solsea NFT Marketplace
solana,flipside,CYPHER3ziDd1rasgBcGGbx4fMtSS72x6NEM5Zvx2vNmK,defi,general_contract,cypher,cypher
solana,flipside,CYPHER79cJLzQ8iyyr6oeizfGgR9YU9NM9oTMPWak5oQ,defi,general_contract,cypher,cypher
solana,flipside,HYPERfwdTjyJ2SCaKHmpF2MtrXqWxrsotYDsTrshHWq8,nft,general_contract,hyperspace,hyperspace marketplace
solana,flipside,3bEcmHsSBWViKYHLvUURWsthYoQvkoFNQqUEU1EZ3U1K,defi,general_contract,upfi,upfi
solana,flipside,3r2St9LGBnXMxv2msAZ4eGAPFNHwpNMbudkdBxdZCCRL,dapp,rewards,degen coin flip,degen coin flip: rewards contract
solana,flipside,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,dex,swap_contract,raydium,raydium route swap program id
solana,flipside,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,chadmin,general_contract,solana,associated token account
solana,flipside,5ocnV1qiCgaQR8Jb8xWnVbApfaygJ8tNoZfgPwsgx9kx,defi,general_contract,socean,socean program
solana,flipside,7mp8BreoYmruCVTB2wGn2mSwYdot2DLDmCPeqEKk1GpL,defi,general_contract,amulet,amulets splsolstakingprogram
solana,flipside,XuErbiqKKqpvN2X8qjkBNo2BwNvQp1WZKZTDgxKB95r,dapp,general_contract,mev,mev address
solana,flipside,bankHHdqMuaaST4qQk6mkzxGeKPHWmqdgor6Gs8r88m,defi,vault,gem farm,gem farm bank
solana,flipside,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,defi,general_contract,drift,drift protocol v2
solana,flipside,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,defi,general_contract,drift,drift protocol
solana,flipside,dp2waEWSBy5yKmq65ergoU3G6qRLmqa6K7We4rZSKph,dex,swap_contract,dradex,dradex dex program
solana,flipside,farmL4xeBFVXJqtfxCzU9b28QACM7E2W2ctT6epAjvE,defi,staking_contract,gem farm,gem farm staking contract
solana,flipside,farmV2NGeqkywqnVGb9DCJfqFQpCYo6uHBXFa42tbov,dex,staking_contract,dradex,dradex farms program
solana,flipside,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu,nft,general_contract,hadeswap,hadeswap
solana,flipside,hausS13jsjafwWwGqZTUQRmWyvyxn9EQpqMwV1PBBmk,nft,general_contract,grape.art,grape.art
solana,flipside,minwAEdewYNqagUwzrVBUGWuo277eeSMwEwj76agxYd,nft,general_contract,monkelabs,monkelabs
solana,flipside,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,nft,general_contract,mmm,mmm
solana,flipside,nirkXSE28jCQoK8SmKWqxXz3L9vbSRGKS24iYJj8Aeo,defi,general_contract,nirvana,nirvana finance
solana,flipside,optFiKjQpoQ3PvacwnFWaPUAqXCETMJSz2sz8HwPe9B,dex,general_contract,optifi,optifi
solana,flipside,otterXYtgZ5DRUGX6JGtcZPg3GoWxEqcLrb9MjeCv3X,dapp,general_contract,otter cash,otter cash
solana,flipside,rwdNPNPS6zNvtF6FMvaxPRjzu2eC51mXaDT9rmWsojp,nft,rewards,cardinal,cardinal reward distributer
solana,flipside,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,defi,general_contract,slow protocol,slow protocol
solana,flipside,stkBL96RZkjY5ine4TvPihGqW8UHJfch2cokjAPzV8i,nft,staking_contract,cardinal,cardinal stake pool
solana,flipside,traderDnaR5w6Tcoi3NFm53i48FTDNbGjBSZwWXDRrg,dapp,general_contract,star atlas,star atlas galactic marketplace
solana,flipside,MEVuSiZ38f55RfEotQtbQ3Tq2HuFSARovoMcDaHQXo1,dapp,general_contract,mev,mev address
solana,flipside,T1pyyaTNZsKv2WcRAB8oVnk93mLJw2XzjtVYqCsaHqt,dapp,rewards,jito mev,tip payment program
solana,flipside,VoLT1mJz1sbnxwq5Fv2SXjdVDgPXrb9tJyC8WpMDkSp,defi,pool,friktion,volt & channel
