FriendlyName,Abbreviation,Category,VoteKey,Network,Tags,LogoURI,Flag,ADDRESS
DeFiLand Staking Program,DeFiLand Staking Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1488895696833032193/5SP1ZtJP_400x400.jpg,,KJ6b6PswEZeNSwEh1po51wxnbX1C3FPhQPhg8eD2Y6E
Secp256k1 SigVerify Precompile,,programs,,"custom,devnet,testnet,mainnet",[],,,KeccakSecp256k11111111111111111111111111111
Laddercast Program,laddercast,programs,,mainnet,[],,,LCNTy2Q4HsKUecKEETwwzujjbAx9DGFJort8SjGzGFj
Lending Program,,programs,,"devnet,testnet,mainnet",[],,,LendZqTs7gn5CTSJU1jWKhKuVpjJGom45nnwPb2AMTi
MagicEden V2 Program,MagicEden V2 Program,programs,,mainnet,['ME'],https://yt3.ggpht.com/HRtpijPgB6rijcMFphGjxEUb5QGFdGFpLVzE_harHbuAi-7VP0S8-2ihkRxF8okOkZo2_yINBw=s900-c-k-c0x00ffffff-no-rj,,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K
Mercurial Stable Swap Program,,programs,,"devnet,mainnet",[],,,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky
Magic Eden | V1,ME v1,programs,,mainnet,['Nft Marketplace'],https://yt3.ggpht.com/HRtpijPgB6rijcMFphGjxEUb5QGFdGFpLVzE_harHbuAi-7VP0S8-2ihkRxF8okOkZo2_yINBw=s900-c-k-c0x00ffffff-no-rj,,MEisE1HzehtrDpAAT8PnLHjpSSkRYakotTuJRPjTpo8
MarginFi Program,MarginFi Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1495835980443623429/6sfyPSTK_400x400.jpg,,MRGNWSHaWmz3CPFcYt9Fyh8VDcvLJyy2SCURnMco2bC
Mean Finance MSP V2,Mean Finance MSP V2,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1511040310344044544/ksia9GiX_400x400.jpg,,MSPCUMbLfy2MeT6geLMMzrUkv1Tx88XRApaVRdyxTuu
Marinade Staking Program,,programs,,mainnet,[],https://miro.medium.com/max/2400/1*cZ8iv9ecLinObz6CRQOdZg.png,,MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD
Memo Program,,programs,,"custom,devnet,testnet,mainnet",[],,,Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo
Memo Program v2,,programs,,"custom,devnet,testnet,mainnet",[],,,MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr
Nazare Program,Nazare Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1563031023486738432/m3W7VA1Q_400x400.jpg,,NAZAREQQuCnkV8CpkGZaoB6ccmvikM8uRr4GKPWwmPT
PsyFinance V2 Program,PsyFinance V2 Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1561846839053254660/AQ89o2jF_400x400.jpg,,PSYFiYqguvMXwpDooGdYV6mju92YEbFobbvW617VNcq
Phoenix,Phoenix,programs,,mainnet,[],,,PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY
Port Finance Program,,programs,,mainnet,[],,,Port7uDYB3wk6GJAw4KT1WpTeMtSu9bTcChBHkX2LfR
Quarry Merge Mine,,programs,,"devnet,testnet,mainnet",[],,,QMMD16kjauP5knBwxNUJRZ1Z5o3deBuFrqVjBVmmqto
Quarry Mine,,programs,,"devnet,testnet,mainnet",[],,,QMNeHCGYnLVDn1icRAfQZpjPLBNkfGbSKRB83G5d8KB
Quarry Mint Wrapper,,programs,,"devnet,testnet,mainnet",[],,,QMWoBmAyJLAsA1Lh9ugMTw2gciTihncciphzdNzdZYV
Quarry Redeemer,,programs,,"devnet,testnet,mainnet",[],,,QRDxhMw1P2NEfiw5mYXG79bwfgHTdasY2xNP76XSea9
Quarry Registry,,programs,,"devnet,testnet,mainnet",[],,,QREGBnEj9Sa5uR91AV8u3FxThgP5ZCvdZUW2bHAkfNc
Quarry Operator,Quarry Operator,programs,,mainnet,"['Defi', 'Farming', 'Yield Farming']",,,QoP6NfrQbaGnccXQrMLUkog2tQZ4C1RFgJcwDnT8Kmz
PsyOptions - American Protocol DAO,DAO,accounts,,mainnet,['dao'],,,R2y9ip6mxmWUj4pt54jP2hz2dgvMozy9VTSwMWE7evs
