blockchain,creator,address,label_type,label_subtype,label,address_name,__row_index
solana,flipside,MRGNWSHaWmz3CPFcYt9Fyh8VDcvLJyy2SCURnMco2bC,defi,general_contract,marginfi,marginfi program,20
solana,flipside,MSPCUMbLfy2MeT6geLMMzrUkv1Tx88XRApaVRdyxTuu,dapp,token_contract,mean finance,mean finance msp v2,21
solana,flipside,XuErbiqKKqpvN2X8qjkBNo2BwNvQp1WZKZTDgxKB95r,dapp,general_contract,mev,mev address,22
solana,flipside,bankHHdqMuaaST4qQk6mkzxGeKPHWmqdgor6Gs8r88m,defi,vault,gem farm,gem farm bank,23
solana,flipside,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,defi,general_contract,drift,drift protocol v2,24
solana,flipside,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,defi,general_contract,drift,drift protocol,25
solana,flipside,dp2waEWSBy5yKmq65ergoU3G6qRLmqa6K7We4rZSKph,dex,swap_contract,dradex,dradex dex program,26
solana,flipside,farmL4xeBFVXJqtfxCzU9b28QACM7E2W2ctT6epAjvE,defi,staking_contract,gem farm,gem farm staking contract,27
solana,flipside,grwDL1AZiCaBmTQHTQVhX6wxXKowAnisDZxH7866LUL,nft,rewards,cardinal,cardinal group reward distributer,28
solana,flipside,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu,nft,general_contract,hadeswap,hadeswap,29
solana,flipside,hausS13jsjafwWwGqZTUQRmWyvyxn9EQpqMwV1PBBmk,nft,general_contract,grape.art,grape.art,30
solana,flipside,minwAEdewYNqagUwzrVBUGWuo277eeSMwEwj76agxYd,nft,general_contract,monkelabs,monkelabs,31
solana,flipside,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,nft,general_contract,mmm,mmm,32
solana,flipside,nirkXSE28jCQoK8SmKWqxXz3L9vbSRGKS24iYJj8Aeo,defi,general_contract,nirvana,nirvana finance,33
solana,flipside,otterXYtgZ5DRUGX6JGtcZPg3GoWxEqcLrb9MjeCv3X,dapp,general_contract,otter cash,otter cash,34
solana,flipside,rrmevmpXMooxn8Qu6u7RWao93BZn4cKgfjtNMURSc2E,nft,general_contract,cardinal,cardinal receipt manager,35
solana,flipside,rwdNPNPS6zNvtF6FMvaxPRjzu2eC51mXaDT9rmWsojp,nft,rewards,cardinal,cardinal reward distributer,36
solana,flipside,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,defi,general_contract,slow protocol,slow protocol,37
solana,flipside,stkBL96RZkjY5ine4TvPihGqW8UHJfch2cokjAPzV8i,nft,staking_contract,cardinal,cardinal stake pool,38
solana,flipside,traderDnaR5w6Tcoi3NFm53i48FTDNbGjBSZwWXDRrg,dapp,general_contract,star atlas,star atlas galactic marketplace,39
solana,flipside,T1pyyaTNZsKv2WcRAB8oVnk93mLJw2XzjtVYqCsaHqt,dapp,rewards,jito mev,tip payment program,40
solana,flipside,VoLT1mJz1sbnxwq5Fv2SXjdVDgPXrb9tJyC8WpMDkSp,defi,pool,friktion,volt & channel,41
solana,flipside,EzSXQ2BXf8m4y4jcQQGeZ6nnwXB3ARXP3YQ5SwjKLj82,dex,vault,saber,tulip saber vaults,42
